board,avg_2seg_orient,avg_3seg_orient,seg2_same_orient,seg2_3_same_orient,seg2_dist_to_left,seg2_dist_to_right,seg2_dist_to_upper,seg2_dist_to_bottom,seg3_dist_to_left,seg3_dist_to_right,seg3_dist_to_upper,seg3_dist_to_bottom,avg_spread_2_2,avg_spread_2_3,avg_spread_all,seg2_ships_whole_at_edge,seg3_ships_whole_at_edge,total_ships_whole_at_edge,seg2_ships_touching_edge,seg3_ships_touching_edge,total_ships_touching_edge
000000300020300020300000000200000200,-2.0,-1.0,True,True,3.5,1.5,2.5,1.5,0.0,5.0,1.0,2.0,3.1622776601683795,3.9681268560513008,3.699510457423661,0.0,1.0,1.0,1.0,0.0,1.0
000000203330200000000000000220000000,0.0,1.0,False,False,1.5,3.0,2.5,2.0,2.0,1.0,1.0,4.0,4.301162633521313,3.0413812651491097,3.4613083879398445,1.0,0.0,1.0,0.0,0.0,0.0
000002300002300000300220000000000000,0.0,-1.0,False,False,4.0,0.5,1.5,3.0,0.0,5.0,1.0,2.0,2.9154759474226504,4.430104099547767,3.925228048839395,1.0,1.0,2.0,0.0,0.0,0.0
020000020030000030000030000000022000,0.0,-1.0,False,False,1.0,3.5,2.5,2.0,4.0,1.0,1.0,2.0,4.527692569068709,3.629613402101506,3.928973124423907,1.0,0.0,1.0,1.0,0.0,1.0
000022000000002200000000000333000000,2.0,1.0,True,True,3.0,1.0,1.0,4.0,3.0,0.0,4.0,1.0,2.8284271247461903,3.2655644370746373,3.119851999631821,1.0,0.0,1.0,0.0,1.0,1.0
000020000020000000000220000000003330,0.0,1.0,False,False,3.5,1.0,1.5,3.0,2.0,1.0,5.0,0.0,2.549509756796392,3.335662520727637,3.0736115994172217,0.0,1.0,1.0,1.0,0.0,1.0
000000000000002022002000000000000333,0.0,1.0,False,False,3.0,1.5,2.0,2.5,3.0,0.0,5.0,0.0,2.549509756796392,3.1214716919327667,2.930817713553976,0.0,1.0,1.0,1.0,0.0,1.0
000000000000033300000000022000000022,2.0,1.0,True,True,2.5,1.5,4.5,0.5,1.0,2.0,2.0,3.0,3.1622776601683795,2.983338825381079,3.0429851036435127,1.0,0.0,1.0,0.0,0.0,0.0
203000203000003000000000000000220000,0.0,-1.0,False,False,0.0,4.5,2.5,2.0,2.0,3.0,0.0,3.0,4.527692569068709,3.166777342733797,3.620415751512101,2.0,0.0,2.0,0.0,1.0,1.0
002003002003000003000000020000020000,-2.0,-1.0,True,True,1.5,3.5,2.0,2.0,5.0,0.0,0.0,3.0,4.123105625617661,4.178227085758217,4.159853265711365,0.0,1.0,1.0,2.0,0.0,2.0
